,,,,,,,Even Strength,Even Strength,Even Strength,Even Strength,,Power Play,Power Play,Power Play,Power Play,,Short Handed,Short Handed,Short Handed,Short Handed,-additional
Rk,Player,Tm,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,-9999
97,Brad Lambert,WPG,C,0:46,1,,9:16,-20.0,6.5,0.0,,4:35,-12.5,0.0,0.0,,0:00,,,,lambebr01
98,Brad Marchand,BOS,LW,0:44,82,,14:00,3.9,3.2,3.1,,3:18,5.0,8.4,1.3,,1:46,2.5,2.1,5.4,marchbr03
99,Braden Schneider,NYR,D,0:44,82,,14:47,-2.0,2.9,3.1,,0:00,-89.6,0.0,0.0,,1:05,10.6,2.0,4.0,schnebr01
100,Bradly Nadeau,CAR,LW,0:50,1,,17:07,11.7,0.0,10.5,,1:55,4.3,0.0,0.0,,0:06,,0.0,0.0,nadeabr01
101,Brady Skjei,CAR,D,0:41,80,,18:06,-1.4,2.7,2.3,,0:59,0.8,14.5,0.0,,2:11,-2.0,2.1,5.1,skjeibr01
102,Brady Tkachuk,OTT,LW,0:35,81,,15:39,8.7,3.4,3.2,,3:26,1.9,7.1,0.6,,0:03,27.9,0.0,0.0,tkachbr01
103,Brandon Biro,BUF,F,0:43,5,,10:19,-15.4,3.5,3.5,,0:00,,,,,0:31,-9.4,0.0,0.0,birobr01
104,Brandon Carlo,BOS,D,0:32,76,,16:46,-5.9,3.0,2.2,,0:02,-27.1,0.0,0.0,,3:05,0.5,1.3,7.2,carlobr01
105,Brandon Duhaime,TOT,RW,0:26,80,,8:54,-1.5,3.6,2.9,,0:03,10.8,0.0,0.0,,1:53,-1.0,0.0,5.8,duhaibr01
106,Brandon Gignac,MTL,C,0:40,7,,9:16,-13.2,0.9,3.7,,0:41,-2.7,0.0,0.0,,1:40,3.4,0.0,5.1,gignabr01
107,Brandon Hagel,TBL,LW,0:39,82,,16:03,4.5,4.0,4.0,,1:11,1.8,9.9,1.2,,2:00,5.4,0.7,4.7,hagelbr01
108,Brandon Montour,FLA,D,0:49,66,,18:55,0.3,2.5,2.3,,3:54,-1.0,9.5,1.2,,0:36,17.5,1.5,4.5,montobr01
109,Brandon Saad,STL,LW,0:44,82,,13:25,-2.8,2.9,3.1,,1:40,-2.0,4.8,0.4,,0:25,10.4,0.0,1.7,saadbr01
110,Brandon Scanlin,NYR,D,1:03,1,,10:46,-17.2,0.0,0.0,,0:00,,,,,0:00,,,,scanlbr01
111,Brandon Tanev,SEA,LW,0:44,66,,11:57,-8.9,1.9,1.9,,0:03,-39.2,0.0,0.0,,2:34,-5.4,0.7,7.1,tanevbr01
112,Brandt Clarke,LAK,D,0:47,16,,12:11,2.8,1.5,3.4,,1:27,8.5,10.3,0.0,,0:00,,,,clarkbr02
113,Brayden McNabb,VEG,D,0:52,82,,16:58,1.2,2.9,2.4,,0:02,-14.3,14.1,0.0,,2:20,1.5,1.6,7.2,mcnabbr01
