Name,year,Position
Neal Pionk,2022,D
Nicholas Paul,2022,LW
Nick Jensen,2022,RW
Nick Schmaltz,2022,C
Nick Suzuki,2022,C
Nick Suzuki,2022,C
Nico Hischier,2022,C
Nikita Kucherov,2022,RW
Nikita Zadorov,2022,D
Nikolaj Ehlers,2022,"LW,RW"
Noah Dobson,2022,D
Noah Dobson,2022,D
Noah Dobson,2022,D
Noah Hanifin,2022,D
Noah Hanifin,2022,D
Noah Hanifin,2022,D
Ondrej Palat,2022,LW
Owen Power,2022,D
Owen Tippett,2022,RW
Parker Kelly,2022,LW
Patrice Bergeron,2022,C
Patrick Kane,2022,RW
Patrik Laine,2022,LW
Patrik Laine,2022,LW
Pavel Buchnevich,2022,RW
Pierre-Luc Dubois,2022,C
Pierre-Luc Dubois,2022,C
Quinn Hughes,2022,D
Radko Gudas,2022,D
Radko Gudas,2022,D
Rasmus Andersson,2022,D
Rasmus Dahlin,2022,D
Rasmus Ristolainen,2022,D
Rasmus Sandin,2022,D
Rasmus Sandin,2022,D
Reilly Smith,2022,RW
Rickard Rakell,2022,"LW,RW"
Roman Josi,2022,D
Roope Hintz,2022,C
Ryan Graves,2022,D
Ryan Hartman,2022,"C,RW"
Ryan Hartman,2022,"C,RW"
Ryan McDonagh,2022,D
Ryan Nugent-Hopkins,2022,"C,LW"
Ryan Pulock,2022,D
Ryan Reaves,2022,RW
Sam Bennett,2022,C
Sam Bennett,2022,C
Sam Bennett,2022,C
Sam Reinhart,2022,"C,RW"
Sam Reinhart,2022,"C,RW"
Sammy Blais,2022,LW
Samuel Girard,2022,D
Sean Durzi,2022,D
Sebastian Aho,2022,C
Seth Jones,2022,D
Seth Jones,2022,D
Shea Theodore,2022,D
Sidney Crosby,2022,C
Steven Stamkos,2022,"C,RW"
T.J. Oshie,2022,RW
T.J. Oshie,2022,RW
Tage Thompson,2022,C
Tanner Jeannot,2022,LW
Teuvo Teravainen,2022,"LW,RW"
Teuvo Teravainen,2022,"LW,RW"
Teuvo Teravainen,2022,"LW,RW"
Thomas Chabot,2022,D
Tim Stutzle,2022,LW
Tom Wilson,2022,RW
Tom Wilson,2022,RW
Tony DeAngelo,2022,D
Tony DeAngelo,2022,D
Travis Konecny,2022,RW
Trevor Zegras,2022,C
Tyler Bertuzzi,2022,LW
Tyler Seguin,2022,"C,RW"
Tyler Seguin,2022,"C,RW"
Tyler Seguin,2022,"C,RW"
Tyler Toffoli,2022,"LW,RW"
Tyler Toffoli,2022,"LW,RW"
Tyson Barrie,2022,D
Tyson Barrie,2022,D
Valeri Nichushkin,2022,"LW,RW"
Victor Hedman,2022,D
Viktor Arvidsson,2022,"LW,RW"
Vince Dunn,2022,D
Vincent Trocheck,2022,"C,RW"
Vladimir Tarasenko,2022,RW
William Nylander,2022,RW
Zach Hyman,2022,"LW,RW"
Zach Hyman,2022,"LW,RW"
