Rank,Player,Position,year
740,Alexander Radulov,RW,2022
741,Zack MacEwen,RW,2022
742,Nick Leddy,D,2022
743,Sam Montembeault,G,2022
744,Morgan Geekie,C,2022
745,Andrew Cogliano,LW,2022
746,Brett Howden,"C,LW",2022
747,Erik Gustafsson,D,2022
748,Steven Lorentz,"LW,RW",2022
749,Zemgus Girgensons,"C,LW",2022
750,Jonathan Drouin,LW,2022
751,Philipp Kurashev,"LW,RW",2022
752,Robert Hagg,D,2022
753,Adam Gaudette,"LW,RW",2022
754,Vinnie Hinostroza,"LW,RW",2022
755,Derek Stepan,"C,RW",2022
756,Rem Pitlick,"LW,RW",2022
757,Christian Fischer,"C,RW",2022
758,Keith Yandle,D,2022
759,David Savard,D,2022
760,Olli Maatta,D,2022
761,Derek Ryan,"C,RW",2022
762,Casey Mittelstadt,C,2022
763,Mark Borowiecki,D,2022
764,Dylan Gambrell,"C,RW",2022
765,Juho Lammikko,C,2022
766,Patrik Nemeth,D,2022
767,Joel Edmundson,D,2022
768,Ben Hutton,D,2022
769,Robert Bortuzzo,D,2022
770,Cal Foote,D,2022
771,Michael Del Zotto,D,2022
772,Chris Tierney,"C,LW",2022
773,Jonas Siegenthaler,D,2022
774,Ryan McLeod,"C,LW",2022
775,Riley Stillman,D,2022
776,Colin Miller,D,2022
777,Dominik Simon,"LW,RW",2022
778,Joonas Korpisalo,G,2022
779,Joe Veleno,"C,LW",2022
780,Jimmy Vesey,"LW,RW",2022
781,Ty Smith,D,2022
782,Michael Pezzetta,LW,2022
783,Alexandre Texier,"LW,RW",2022
784,Parker Kelly,"LW,RW",2022
785,Kevin Labanc,"LW,RW",2022
786,Matt Nieto,"LW,RW",2022
787,Erik Brannstrom,D,2022
788,Chris Wideman,D,2022
789,Niko Mikkola,D,2022
790,Mathieu Perreault,"C,LW",2022
791,Riley Sheahan,"C,LW",2022
792,Joel Kiviranta,"LW,RW",2022
793,Simon Benoit,D,2022
794,Jesper Boqvist,C,2022
795,Justin Danforth,"C,RW",2022
796,Janne Kuokkanen,"LW,RW",2022
797,Jack Johnson,D,2022
798,Michael Amadio,"C,RW",2022
799,Caleb Jones,D,2022
800,Dominic Toninato,"C,LW",2022
801,Julien Gauthier,RW,2022
802,Noel Acciari,"C,LW",2022
803,Karel Vejmelka,G,2022
804,Jujhar Khaira,"LW,RW",2022
805,Colin White,"C,RW",2022
806,Liam O'Brien,"LW,RW",2022
807,Matthew Highmore,"LW,RW",2022
808,Jake Walman,D,2022
809,Travis Dermott,D,2022
810,Boris Katchouk,LW,2022
811,Sam Steel,"C,LW",2022
