Name,gp,wins,GA,GAA,saves,shots_against,sv_percent,shutout,manager,year,Position
Cam Talbot,14,9,41,2.9,384,425,0.9035294117647059,0,Big Thick Blocks,2020,G
Robin Lehner,17,12,41,2.37,419,460,0.9108695652173913,1,Commissioner Coulas,2020,G
Jaroslav Halak,2,1,3,1.44,45,48,0.9375,0,Commissioner Coulas,2020,G
Vitek Vanecek,26,14,68,2.7,656,724,0.9060773480662984,2,Commissioner Coulas,2020,G
Jake Allen,3,2,5,1.68,101,106,0.9528301886792453,0,Commissioner Coulas,2020,G
Pekka Rinne,12,4,39,3.5,299,338,0.8846153846153846,1,Commissioner Coulas,2020,G
Alex Nedeljkovic,12,8,23,1.9,303,326,0.9294478527607362,1,Commissioner Coulas,2020,G
Cam Talbot,6,3,13,2.4,149,162,0.9197530864197531,0,Dont Drink and Draft,2020,G
David Rittich,1,0,4,4,17,21,0.8095238095238095,0,Dont Drink and Draft,2020,G
Jaroslav Halak,13,6,37,2.9,333,370,0.9,1,Dont Drink and Draft,2020,G
Kevin Lankinen,19,9,65,3.58,558,623,0.8956661316211878,1,Dont Drink and Draft,2020,G
Michael Hutchinson,2,0,5,4.71,26,31,0.8387096774193549,0,Dont Drink and Draft,2020,G
Casey DeSmith,11,5,28,2.82,289,317,0.9116719242902208,1,Dont Drink and Draft,2020,G
Carey Price,23,11,61,2.69,533,594,0.8973063973063973,1,Dumpster Fire,2020,G
Connor Hellebuyck,40,22,99,2.55,1093,1192,0.9169463087248322,3,Dumpster Fire,2020,G
Joonas Korpisalo,10,4,34,3.67,261,295,0.8847457627118644,0,Dumpster Fire,2020,G
Jonathan Quick,1,0,3,3.13,27,30,0.9,0,Dumpster Fire,2020,G
Brian Elliott,2,2,3,1.5,49,52,0.9423076923076923,1,Dumpster Fire,2020,G
Kevin Lankinen,1,0,3,3.03,18,21,0.8571428571428571,0,Dumpster Fire,2020,G
Martin Jones,1,0,4,4.05,29,33,0.8787878787878788,0,Dumpster Fire,2020,G
Jake Allen,1,0,3,3.12,23,26,0.8846153846153846,0,Dumpster Fire,2020,G
Ilya Samsonov,19,13,49,2.69,450,499,0.9018036072144289,2,Hail Satan,2020,G
Elvis Merzlikins,13,5,28,2.41,367,395,0.9291139240506329,2,Hail Satan,2020,G
Mikko Koskinen,16,8,45,3.05,414,459,0.9019607843137255,0,Hail Satan,2020,G
Chris Driedger,17,9,40,2.41,429,469,0.9147121535181236,1,Hail Satan,2020,G
Mikko Koskinen,2,1,7,3.55,68,75,0.9066666666666666,0,HatTrick Swayzes,2020,G
Igor Shesterkin,33,14,77,2.6,833,910,0.9153846153846154,2,HatTrick Swayzes,2020,G
Mackenzie Blackwood,2,2,4,1.92,74,78,0.9487179487179487,0,HatTrick Swayzes,2020,G
Kaapo Kahkonen,10,6,33,3.3,284,317,0.8958990536277602,2,HatTrick Swayzes,2020,G
James Reimer,7,4,24,3.47,190,214,0.8878504672897196,0,HatTrick Swayzes,2020,G
Alexandar Georgiev,1,1,3,3,24,27,0.8888888888888888,0,HatTrick Swayzes,2020,G
Thatcher Demko,8,5,21,2.57,262,283,0.9257950530035336,0,HatTrick Swayzes,2020,G
Jack Campbell,16,12,36,2.33,376,412,0.912621359223301,0,HatTrick Swayzes,2020,G
Martin Jones,4,0,14,3.77,89,103,0.8640776699029126,0,HatTrick Swayzes,2020,G
Jeremy Swayman,3,2,4,1.35,74,78,0.9487179487179487,0,HatTrick Swayzes,2020,G
Carter Hart,18,8,59,3.69,421,480,0.8770833333333333,1,Mitchell's Mooners,2020,G
Jacob Markstrom,35,16,94,2.78,872,966,0.9026915113871635,3,Mitchell's Mooners,2020,G
Juuse Saros,29,18,64,2.32,770,834,0.9232613908872902,2,Mitchell's Mooners,2020,G
Cal Petersen,19,4,59,3.16,550,609,0.90311986863711,0,Mitchell's Mooners,2020,G
Semyon Varlamov,1,0,2,2.05,23,25,0.92,0,Mitchell's Mooners,2020,G
Frederik Andersen,19,11,54,2.89,470,524,0.8969465648854962,0,No Regretzkys,2020,G
Sergei Bobrovsky,30,19,82,2.8,823,905,0.9093922651933701,0,No Regretzkys,2020,G
Alexandar Georgiev,3,1,10,3.19,82,92,0.8913043478260869,0,No Regretzkys,2020,G
Curtis McElhinney,1,1,1,1,31,32,0.96875,0,No Regretzkys,2020,G
Jake Allen,1,0,2,1.98,19,21,0.9047619047619048,0,No Regretzkys,2020,G
Jonathan Quick,1,0,3,3.06,20,23,0.8695652173913043,0,No Regretzkys,2020,G
Ilya Sorokin,11,7,25,2.33,279,304,0.9177631578947368,1,No Regretzkys,2020,G
Josef Korenar,6,3,20,3.39,183,203,0.9014778325123153,0,No Regretzkys,2020,G
Semyon Varlamov,30,16,65,2.19,782,847,0.9232585596221959,4,Speak Up I'm Wasted,2020,G
Darcy Kuemper,19,7,47,2.55,492,539,0.9128014842300557,1,Speak Up I'm Wasted,2020,G
Petr Mrazek,8,4,14,1.94,203,217,0.9354838709677419,2,Speak Up I'm Wasted,2020,G
Alexandar Georgiev,1,0,2,2.03,16,18,0.8888888888888888,0,Speak Up I'm Wasted,2020,G
Jake Oettinger,3,1,5,1.7,78,83,0.9397590361445783,0,Speak Up I'm Wasted,2020,G
Mackenzie Blackwood,3,3,7,2.31,86,93,0.9247311827956989,0,Speak Up I'm Wasted,2020,G
Tuukka Rask,19,12,41,2.24,450,491,0.9164969450101833,2,Sugar Kane,2020,G
Thatcher Demko,9,3,33,3.74,284,317,0.8958990536277602,0,Sugar Kane,2020,G
Marc-Andre Fleury,32,22,66,2.08,827,893,0.9260918253079508,5,Sugar Kane,2020,G
Mike Smith,26,16,57,2.3,682,739,0.9228687415426252,2,Sugar Kane,2020,G
Cam Talbot,1,1,1,1,21,22,0.9545454545454546,0,Sugar Kane,2020,G
Adin Hill,3,3,6,1.98,81,87,0.9310344827586207,0,Sugar Kane,2020,G
Andrei Vasilevskiy,39,30,84,2.15,1056,1140,0.9263157894736842,5,The Glatt Pack,2020,G
Braden Holtby,15,4,54,3.61,425,479,0.8872651356993737,0,The Glatt Pack,2020,G
John Gibson,30,9,85,2.85,829,914,0.9070021881838074,3,The Glatt Pack,2020,G
Philipp Grubauer,36,27,73,2.06,831,904,0.9192477876106194,6,The Hans Grubauers,2020,G
