Name,GP*,G,A,+/-,PIM,PPP,SOG,HIT,BLK,manager,year,Position,center,lw,rw,defence,multi_position,GWG
Nikolaj Ehlers,13,1,3,-7,7,1,NA,10,4,I'M BETTMEN!!!,2018,"LW,RW",0,1,1,0,1,0
Jason Zucker,1,0,0,-1,0,0,NA,0,0,I'M BETTMEN!!!,2018,"LW,RW",0,1,1,0,1,0
Patric Hornqvist,6,0,1,-1,0,0,NA,10,1,I'M BETTMEN!!!,2018,RW,0,0,1,0,0,0
Ryan Reaves,67,9,10,2,57,3,NA,260,22,I'M BETTMEN!!!,2018,RW,0,0,1,0,0,2
Josh Morrissey,7,0,5,1,0,2,NA,8,18,I'M BETTMEN!!!,2018,D,0,0,0,1,0,0
Drew Doughty,74,5,36,-31,40,22,NA,155,104,I'M BETTMEN!!!,2018,D,0,0,0,1,0,0
Mikhail Sergachev,25,0,8,2,6,4,NA,30,35,I'M BETTMEN!!!,2018,D,0,0,0,1,0,0
Micheal Ferland,22,10,3,2,11,6,NA,76,7,I'M BETTMEN!!!,2018,"LW, RW",0,1,1,0,1,3
Brooks Orpik,8,0,0,0,2,0,NA,24,7,I'M BETTMEN!!!,2018,D,0,0,0,1,0,0
Yanni Gourde,29,8,13,0,13,5,NA,32,9,I'M BETTMEN!!!,2018,LW,0,1,0,0,0,4
Brock Boeser,45,17,24,4,8,11,NA,8,14,I'M BETTMEN!!!,2018,RW,0,0,1,0,0,0
Robert Hagg,68,3,10,-1,51,0,NA,209,134,I'M BETTMEN!!!,2018,D,0,0,0,1,0,0
Leo Komarov,1,0,0,-1,0,0,NA,2,1,I'M BETTMEN!!!,2018,C,1,0,0,0,0,0
Jonathan Drouin,19,6,10,0,6,2,NA,7,5,I'M BETTMEN!!!,2018,LW,0,1,0,0,0,1
Travis Hamonic,3,0,0,-1,0,0,NA,3,4,I'M BETTMEN!!!,2018,D,0,0,0,1,0,0
Matt Duchene,38,14,17,-6,4,5,NA,21,19,I'M BETTMEN!!!,2018,C,1,0,0,0,0,0
Jacob Trouba,62,5,31,9,44,16,NA,79,139,I'M BETTMEN!!!,2018,D,0,0,0,1,0,0
Ian Cole,39,1,5,-3,64,0,NA,69,93,I'M BETTMEN!!!,2018,D,0,0,0,1,0,0
Jake Guentzel,52,29,23,9,18,8,NA,63,27,I'M BETTMEN!!!,2018,"LW,RW",0,1,1,0,1,4
Alexander Kerfoot,4,0,4,3,2,1,NA,1,1,I'M BETTMEN!!!,2018,"LW,RW,C",1,1,1,0,1,0
Ron Hainsey,1,0,0,-1,5,0,NA,1,0,I'M BETTMEN!!!,2018,D,0,0,0,1,0,0
Gustav Nyquist,5,1,2,4,0,1,NA,2,1,I'M BETTMEN!!!,2018,"LW,RW",0,1,1,0,1,0
Evgenii Dadonov,24,4,8,-6,0,2,NA,10,17,I'M BETTMEN!!!,2018,"LW,RW",0,1,1,0,1,1
Andrew Shaw,24,5,9,4,31,1,NA,53,12,I'M BETTMEN!!!,2018,RW,0,0,1,0,0,1
Alex Chiasson,2,0,0,-1,0,0,NA,2,0,I'M BETTMEN!!!,2018,RW,0,0,1,0,0,0
Kasperi Kapanen,5,1,2,-1,0,1,NA,10,1,I'M BETTMEN!!!,2018,RW,0,0,1,0,0,0
Bryan Rust,14,6,4,8,4,0,NA,23,11,I'M BETTMEN!!!,2018,RW,0,0,1,0,0,2
Jordan Eberle,22,5,3,-1,0,3,NA,7,12,I'M BETTMEN!!!,2018,RW,0,0,1,0,0,1
Colton Parayko,20,1,6,3,9,4,NA,29,45,I'M BETTMEN!!!,2018,D,0,0,0,1,0,0
